feature,mean,std,min,max
rely,1.0363492063492061,0.19347669349763885,0.75,1.4
data,1.0039682539682537,0.07343067133060606,0.94,1.16
cplx,1.0914285714285714,0.202563069770931,0.7,1.65
time,1.1138095238095238,0.16163906996791388,1.0,1.66
stor,1.1438095238095236,0.179420470039303,1.0,1.56
virt,1.0084126984126984,0.12059270760071726,0.87,1.3
turn,0.9717460317460316,0.08097270911298296,0.87,1.15
acap,0.9052380952380953,0.1515070225441195,0.71,1.46
aexp,0.9485714285714286,0.11924300402630164,0.82,1.29
pcap,0.9374603174603175,0.16651037218461465,0.7,1.42
vexp,1.0052380952380953,0.09337501812163995,0.9,1.21
lexp,1.0014285714285716,0.05198812342216756,0.95,1.14
modp,1.004126984126984,0.1309350358572959,0.82,1.24
tool,1.016984126984127,0.08573467926023043,0.83,1.24
sced,1.0488888888888888,0.07558612074147952,1.0,1.23
loc,77.20984126984128,168.50937448309537,1.98,1150.0
actual_effort,683.3206349206349,1821.5823475102297,5.9,11400.0
